"item_type","id","parent_id","epico","feature","user_story","task","title","tipo","prioridade","marco","responsavel","estimativa","dependencias","rastreabilidade","labels","objetivo","criterios_de_aceite","dod","assistencia_ia"
"epic","E0","","E0 — Fundação, contratos e entrega assistida por IA","","","","Fundação, contratos e entrega assistida por IA","","","","","","","","","","","",""
"user_story","V1-001","E0","","","V1-001 — Aprovar escopo, objetivos e critérios de saída da v1.0","","Aprovar escopo, objetivos e critérios de saída da v1.0","Produto / governança","P0","M0","Product Owner / Gerente de Projeto","M","Nenhuma","PRD 1–5; RF-001; H-001","`product`, `scope`, `governance`, `p0`","Transformar a tese de Plataforma de Inteligência Corporativa com IA em uma linha de base aprovada, com domínios prioritários, usuários-piloto, fontes iniciais, limites de autonomia e critérios de sucesso.","1. **Dado** que o PRD e o ADR foram revisados, **quando** o comitê de produto realizar o gate M0, **então** aprovará formalmente a categoria, o corte da v1.0, os itens fora de escopo e os critérios de saída.
2. **Dado** que o piloto precisa de fontes e owners, **quando** o escopo for aprovado, **então** haverá pelo menos cinco domínios priorizados, owner nominal, fonte inicial, classificação, SLA de frescor e usuário responsável por validação.
3. **Dado** que mudanças de escopo possam ocorrer, **quando** uma nova capacidade for proposta, **então** deverá registrar impacto em prazo, risco, custo, dependências e decisão de inclusão ou adiamento.
**DoD específico.** Ata de decisão, mapa de stakeholders, backlog baseline, critérios de entrada/saída do piloto e matriz de mudanças publicados.
**Assistência de IA.** Claude/Kimi podem propor cenários e riscos; Product Owner aprova a decisão e nenhuma saída de modelo é considerada requisito sem validação humana.","",""
"user_story","V1-002","E0","","","V1-002 — Consolidar arquitetura C4, threat model e ADR de fronteiras","","Consolidar arquitetura C4, threat model e ADR de fronteiras","Spike / Arquitetura / Segurança","P0","M0","Arquiteto de Software / Segurança","L","V1-001","ADR-001; RF-001; H-001","`architecture`, `c4`, `threat-model`, `security`, `p0`","Atualizar a arquitetura executável com quatro planos — Harness, Knowledge, Intelligence e Action — e registrar fronteiras de confiança, egress, dados e responsabilidades dos dois runtimes.","1. **Dado** o produto e a decisão de stack, **quando** a arquitetura for publicada, **então** conterá C4 de contexto e containers, fluxo de pergunta, fluxo de ingestão e fluxo de ação.
2. **Dado** que Python e TypeScript possuem responsabilidades distintas, **quando** o threat model for revisado, **então** identificará que o Model Gateway TypeScript é o único egress de providers e que workers Python não podem ampliar política ou chamar MCPs diretamente.
3. **Dado** um risco de segredo, tenant escape, prompt injection, budget ou ação indevida, **quando** a matriz de risco for avaliada, **então** haverá mitigação, owner, teste e issue de destino.
**DoD específico.** ADR atualizado, diagramas renderizáveis, threat model com STRIDE/abuso de IA, matriz de riscos e decisão sobre limites de autonomia.
**Assistência de IA.** Claude/Kimi geram alternativas e hipóteses; Arquiteto e Segurança validam todas as fronteiras e rejeitam decisões não explicáveis.","",""
"user_story","V1-003","E0","","","V1-003 — Versionar contratos cross-runtime e catálogo de schemas","","Versionar contratos cross-runtime e catálogo de schemas","Arquitetura / Contrato","P0","M0","Arquitetura / Engenharia","L","V1-002","RF-001; RF-047; H-002","`contracts`, `openapi`, `json-schema`, `asyncapi`, `p0`","Definir contratos OpenAPI, JSON Schema e AsyncAPI para comunicação entre TypeScript/Fastify e Python/FastAPI, sem compartilhar classes nativas como mecanismo de integração.","1. **Dado** que os runtimes trocam contexto, **quando** os contratos forem publicados, **então** existirão schemas versionados para `EffectivePolicy`, `KnowledgeAsset`, `Evidence`, `Claim`, `Insight`, `ActionRequest`, `UsageLedger`, erros e eventos.
2. **Dado** uma alteração incompatível, **quando** o PR for aberto, **então** o pipeline exigirá nova versão, migração ou compatibilidade temporária documentada.
3. **Dado** qualquer payload cross-runtime, **quando** for validado, **então** carregará `request_id`, `tenant_id`, `workspace_id`, `policy_version`, `classification`, `provenance` e, quando aplicável, `budget_scope`.
**DoD específico.** Diretório `/contracts`, exemplos válidos e inválidos, changelog de schemas, regras de compatibilidade e testes de contrato básicos.
**Assistência de IA.** Codex pode gerar schemas e fixtures; Claude revisa semântica; Engenharia valida manualmente campos de segurança e compatibilidade.","",""
"user_story","V1-004","E0","","","V1-004 — Criar monorepo poliglota, toolchains e CI/CD reproduzível","","Criar monorepo poliglota, toolchains e CI/CD reproduzível","Infraestrutura / DevEx","P0","M0","Engenharia / DevOps","L","V1-002, V1-003","RF-002; H-003; ADR-001","`monorepo`, `typescript`, `python`, `ci-cd`, `p0`","Criar a base do repositório para TypeScript/Fastify e Python/FastAPI/workers, com builds, lint, testes, imagens OCI e execução local reproduzível.","1. **Dado** um clone limpo, **quando** o desenvolvedor executar o bootstrap documentado, **então** os toolchains TypeScript e Python, contratos, banco local e serviços auxiliares iniciam sem configuração manual secreta.
2. **Dado** um pull request, **quando** o CI executar, **então** validará lint, type-check, testes, contratos, dependências, vulnerabilidades, segredos, migrações e build dos dois runtimes.
3. **Dado** um deploy em staging, **quando** as imagens forem publicadas, **então** terão digest verificável, SBOM, versão, logs de build e rollback documentado.
**DoD específico.** `README` de desenvolvimento, scripts de bootstrap, ambientes dev/test/staging, pipeline protegido e primeira execução verde.
**Assistência de IA.** Codex implementa scaffolding e pipelines; Claude revisa segurança da cadeia de build; nenhum modelo recebe secrets reais.","",""
"user_story","V1-005","E0","","","V1-005 — Instituir governança de desenvolvimento assistido por IA","","Instituir governança de desenvolvimento assistido por IA","Processo / Governança / Segurança","P0","M0","Gerente de Projeto / Engenharia / Segurança","M","V1-001, V1-002","ADR-001; RF-001; risco de desenvolvimento assistido por IA","`ai-assisted-development`, `governance`, `security`, `p0`","Definir como Claude, Gemini, Codex e Kimi serão usados no ciclo de desenvolvimento sem transferir para modelos a autoridade de decidir, aprovar ou operar componentes críticos.","1. **Dado** qualquer issue da v1.0, **quando** um modelo for usado, **então** haverá context pack, prompt/resumo de decisão, saída revisada, arquivos alterados, testes e responsável humano registrados.
2. **Dado** código, schema, migração, policy ou prompt gerado por IA, **quando** chegar ao merge, **então** terá revisão humana obrigatória e teste automatizado proporcional ao risco.
3. **Dado** uma tarefa que envolva produção, secrets, dados pessoais ou escrita externa, **quando** for atribuída a um modelo, **então** o modelo não terá acesso autônomo ao ambiente e a ação dependerá de aprovação humana.
**DoD específico.** Política de uso de IA, matriz de responsabilidades, template de context pack, checklist de revisão e registro mínimo de proveniência.
**Assistência de IA.** A própria issue pode ser refinada pelos quatro modelos em revisão cruzada; o Gerente de Projeto e Segurança mantêm a decisão final.","",""
"user_story","V1-006","E0","","","V1-006 — Provisionar ambientes, configuração e segredos por runtime","","Provisionar ambientes, configuração e segredos por runtime","Infraestrutura / Segurança","P0","M0","DevOps / Segurança","L","V1-004","RF-002; RF-006; H-003; H-012","`environments`, `vault`, `secrets`, `p0`","Configurar dev, test, staging e prod com separação de secrets, identidades de workload, configuração versionada e acesso mínimo para TypeScript, Python, PostgreSQL, Redis, MinIO e Qdrant.","1. **Dado** um serviço TypeScript ou Python, **quando** iniciar, **então** receberá apenas as configurações e referências de segredo necessárias ao seu domínio.
2. **Dado** o ambiente de teste, **quando** uma integração externa não estiver disponível, **então** poderá usar double controlado sem permitir que código de teste acesse produção.
3. **Dado** um segredo rotacionado, **quando** o Vault publicar a nova versão, **então** o gateway e os workers autorizados a usar a referência atual sem reinstalar o cliente.
**DoD específico.** Matriz de acesso, políticas de rede, secrets em runtime, rotação testada, configuração por ambiente e documentação de rollback.
**Assistência de IA.** Codex pode gerar manifests; Segurança e DevOps revisam cada permissão, política de rede e variável.","",""
"user_story","V1-007","E0","","","V1-007 — Implantar governança de mudanças, versionamento e gates de release","","Implantar governança de mudanças, versionamento e gates de release","Processo / Release","P0","M0–M5","Gerente de Projeto / Release Manager","M","V1-001, V1-004, V1-005","RF-002; RF-046; RN-026; RN-028","`release`, `change-management`, `rollback`, `p0`","Criar o fluxo de mudanças para código, contratos, prompts, modelos, taxonomia, políticas, conectores e índices, com aprovação proporcional ao risco.","1. **Dado** uma mudança em componente P0, **quando** o release for criado, **então** o pipeline mostrará testes, riscos, impacto, versão, evidência e plano de rollback.
2. **Dado** um achado crítico ou alto, **quando** o gate for executado, **então** o release será bloqueado até correção ou aceitação formal por responsável autorizado.
3. **Dado** uma nova versão publicada por anel, **quando** ocorrer falha, **então** será possível pausar e reverter sem perder auditoria ou corromper memória local.
**DoD específico.** Política de branch/merge, matriz de aprovação, changelog, versionamento semântico dos contratos e runbook de rollback.
**Assistência de IA.** Modelos podem gerar release notes e checklist; o responsável humano valida risco e autorização.
---","",""
"epic","E1","","E1 — Identidade, tenants e administração","","","","Identidade, tenants e administração","","","","","","","","","","","",""
"user_story","V1-101","E1","","","V1-101 — Implementar SSO, sessão, tenant e registro de dispositivo","","Implementar SSO, sessão, tenant e registro de dispositivo","Feature / IAM","P0","M0","Backend TypeScript / Segurança","L","V1-003, V1-004, V1-006","RF-003; H-004","`iam`, `oidc`, `device`, `p0`","Autenticar usuários por IdP corporativo, derivar tenant, papéis, workspaces e dispositivo e permitir revogação imediata.","1. **Dado** um login válido, **quando** a sessão for criada, **então** o servidor associará `tenant_id`, `user_id`, papéis, workspaces, `device_id`, versão do cliente e expiração.
2. **Dado** token expirado, tenant incorreto, audiência inválida ou dispositivo revogado, **quando** uma chamada chegar ao gateway, **então** será rejeitada e auditada.
3. **Dado** que um administrador revogue um dispositivo, **quando** a revogação for publicada, **então** novas chamadas e sessões ativas serão invalidadas dentro do SLA definido.
**DoD específico.** OIDC/PKCE, testes negativos, revogação, sessão de serviço e auditoria de login/logout.
**Assistência de IA.** Codex pode implementar adaptadores e testes; Segurança aprova claims, audiences, scopes e revogação.","",""
